ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
,Theresa Osypuk,'Wiley',Direct and Proxy Recall of Childhood Socio‐Economic Position and Health,27,Direct and Proxy Recall of Childhood Socio‐Economic Position and Health,,Other,Published,Department of Family Medicine and Public Health Sciences School of Medicine Wayne State University  Detroit,10.1111/ppe.12045,4,"Straughen, J. K., Caldwell, C. H., Osypuk, T. L., Helmkamp, L., & Misra, D. P. (2013). Direct and Proxy Recall of Childhood SocioâEconomic Position and Health. Paediatric and Perinatal Epidemiology, 27(3), 294â302. Portico. https://doi.org/10.1111/ppe.12045
",2013.0,2013.0,Boston,,PROJ_13011,Completed,sociology,3,2016.0,294-302,"recall childhood, childhood socio, socio economic, childhood, economic position"
,Narayan Sastry,Journal of the Royal Statistical Society Series A: Statistics in Society,Switching from telephone to web‐first mixed‐mode data collection: Results from the Transition into Adulthood Supplement to the US Panel Study of Income Dynamics,185,Switching from telephone to web‐first mixed‐mode data collection: Results from the Transition into Adulthood Supplement to the US Panel Study of Income Dynamics,,Publication,,"University of Michigan , Ann Arbor , Michigan , USA",10.1111/rssa.12840,7,"Sastry, N., & McGonagle, K. A. (2022). Switching from Telephone to Web-First Mixed-Mode Data Collection: Results from The Transition into Adulthood Supplement to the US Panel Study of Income Dynamics. Journal of the Royal Statistical Society Series A: Statistics in Society, 185(3), 933â954. https://doi.org/10.1111/rssa.12840
",2022.0,2022.0,Michigan,,PROJ_00475,,technology,3,2025.0,933-954,"income dynamics, transition adulthood, income, telephone web, adulthood"
,Forrest R. Stevens,University of New Hampshire Scholars\u27 Repository,"Rural environmental concern: Effects of position, partisanship and place",79,Disaggregating Census Data for Population Mapping Using Random Forests with Remotely-Sensed and Ancillary Data,,Other,Published,Department of Sociology University of New Hampshire,10.1111/ruso.12023,9,"Hamilton, L. C., Hartter, J., Safford, T. G., & Stevens, F. R. (2013). Rural Environmental Concern: Effects of Position, Partisanship, and Place. Rural Sociology, 79(2), 257â281. Portico. https://doi.org/10.1111/ruso.12023
",2015.0,2013.0,Florida,,PROJ_13443,Completed,technology,2,2018.0,257-281,"rural environmental, partisanship place, position partisanship, environmental concern, rural"
,Shannon Rieger,Sociological Forum,Masking and meaning during the COVID‐19 pandemic,39,Distinct differences in metal ion specificity of RNA and DNA G-quadruplexes,,Publication,,Sociology NYU  New York New York USA,10.1111/socf.13000,5,"Rieger, S. (2024). Masking and meaning during the <scp>COVID</scp>â19 pandemic. Sociological Forum, 39(2), 160â172. Portico. https://doi.org/10.1111/socf.13000
",,2024.0,Chicago,,PROJ_10613,,life sciences,2,,160-172,"covid 19, meaning covid, 19 pandemic, pandemic, covid"
,Christopher M Clapp,Worldviews on Evidence-Based Nursing,A deductive thematic analysis of nurses with job‐related problems who completed suicide during the early COVID‐19 pandemic: A preliminary report,20,Differences in the carcinogenic evaluation of glyphosate between the International Agency for Research on Cancer (IARC) and the European Food Safety Authority (EFSA),,Publication,,Thornton 2 West Progressive Care Unit UC San Diego Health  La Jolla California USA,10.1111/wvn.12640,3,"James, K. E., Agarwal, S., Armenion, K. L., Clapp, C., Barnes, A., Ye, G. Y., Zisook, S., & Davidson, J. E. (2023). A deductive thematic analysis of nurses with jobârelated problems who completed suicide during the early <scp>COVID</scp>â19 pandemic: A preliminary report. Worldviews on Evidence-Based Nursing, 20(2), 96â106. Portico. https://doi.org/10.1111/wvn.12640
",,2023.0,Missouri,,PROJ_04869,,communications,2,,96-106,"completed suicide, suicide, suicide early, nurses job, nurses"
,Joshua H Davidson,Science Advances,Student of Games: A unified learning algorithm for both perfect and imperfect information games,9,Generalized Courant-Snyder Theory for Charged-Particle Dynamics in General Focusing Lattices,,Publication,,"EquiLibre Technologies, Prague, Czechia.",10.1126/sciadv.adg3256,11,"Schmid, M., MoravÄÃ­k, M., Burch, N., Kadlec, R., Davidson, J., Waugh, K., Bard, N., Timbers, F., Lanctot, M., Holland, G. Z., Davoodi, E., Christianson, A., & Bowling, M. (2023). Student of Games: A unified learning algorithm for both perfect and imperfect information games. Science Advances, 9(46). https://doi.org/10.1126/sciadv.adg3256
",,2023.0,Texas,,PROJ_11051,,physical sciences,46,,,"information games, student games, games unified, imperfect information, unified learning"
,Jeffrey Shrader,Science Advances,Heat disproportionately kills young people: Evidence from wet-bulb temperature in Mexico,10,Genetic variation in GIPR influences the glucose and insulin responses to an oral glucose challenge,,Publication,,"Center on Food Security and the Environment, Stanford University, Palo Alto, CA, USA.",10.1126/sciadv.adq3367,12,"Wilson, A. J., Bressler, R. D., Ivanovich, C., Tuholske, C., Raymond, C., Horton, R. M., Sobel, A., Kinney, P., Cavazos, T., & Shrader, J. G. (2024). Heat disproportionately kills young people: Evidence from wet-bulb temperature in Mexico. Science Advances, 10(49). https://doi.org/10.1126/sciadv.adq3367
",,2024.0,Boston,,PROJ_08945,,medicine,49,,,"temperature mexico, heat disproportionately, bulb temperature, temperature, heat"
,Jeffrey Shrader,American Association for the Advancement of Science,Mandatory disclosure is key to address climate risks,378,Mandatory disclosure is key to address climate risks,,Other,Published,"Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, GA, USA.",10.1126/science.add0206,1,"Carattini, S., Hertwich, E., Melkadze, G., & Shrader, J. G. (2022). Mandatory disclosure is key to address climate risks. Science, 378(6618), 352â354. https://doi.org/10.1126/science.add0206
",2022.0,2022.0,Atlanta,,PROJ_08942,Active,law and justice,6618,2025.0,352-354,"mandatory disclosure, climate risks, disclosure, disclosure key, climate"
,Joseph W Sakshaug,'BMJ',Differences in beliefs about COVID-19 by gun ownership: a cross-sectional survey of Texas adults,11,Differences in beliefs about COVID-19 by gun ownership: a cross-sectional survey of Texas adults,,Other,Published,,10.1136/bmjopen-2020-048094,11,"Johnson, R. M., Crifasi, C., Anderson Goodell, E. M., WiÅniowski, A., Sakshaug, J. W., Thrul, J., & Owens, M. (2021). Differences in beliefs about COVID-19 by gun ownership: a cross-sectional survey of Texas adults. BMJ Open, 11(11), e048094. https://doi.org/10.1136/bmjopen-2020-048094
",2021.0,2021.0,Chicago,,PROJ_06775,Completed,social sciences,11,2024.0,e048094,"gun ownership, beliefs covid, covid 19, 19 gun, texas adults"
,Christopher M Clapp,'BMJ',Differences in the carcinogenic evaluation of glyphosate between the International Agency for Research on Cancer (IARC) and the European Food Safety Authority (EFSA),70,Differences in the carcinogenic evaluation of glyphosate between the International Agency for Research on Cancer (IARC) and the European Food Safety Authority (EFSA),,Other,Published,,10.1136/jech-2015-207005,1,"Portier, C. J., Armstrong, B. K., Baguley, B. C., Baur, X., Belyaev, I., BellÃ©, R., Belpoggi, F., Biggeri, A., Bosland, M. C., Bruzzi, P., Budnik, L. T., Bugge, M. D., Burns, K., Calaf, G. M., Carpenter, D. O., Carpenter, H. M., LÃ³pez-Carrillo, L., Clapp, R., Cocco, P., â¦ Zhou, S.-F. (2016). Differences in the carcinogenic evaluation of glyphosate between the International Agency for Research on Cancer (IARC) and the European Food Safety Authority (EFSA). Journal of Epidemiology and Community Health, 70(8), 741â745. https://doi.org/10.1136/jech-2015-207005
",2016.0,2016.0,Philadelphia,,PROJ_04869,Completed,communications,8,2019.0,741-745,"evaluation glyphosate, glyphosate international, carcinogenic evaluation, glyphosate, carcinogenic"
,David Agrawal,'Association for Computing Machinery (ACM)',A Cost-based Optimizer for Gradient Descent Optimization,,A Cost-based Optimizer for Gradient Descent Optimization,,Other,Published,"HBKU, Doha, Qatar",10.1145/3035918.3064042,3,"Kaoudi, Z., Quiane-Ruiz, J.-A., Thirumuruganathan, S., Chawla, S., & Agrawal, D. (2017). A Cost-based Optimizer for Gradient Descent Optimization. Proceedings of the 2017 ACM International Conference on Management of Data, 977â992. https://doi.org/10.1145/3035918.3064042
",2017.0,2017.0,Chicago,,PROJ_10104,Completed,technology,,2020.0,977-992,"gradient descent, descent optimization, optimizer gradient, optimizer, based optimizer"
,David H Autor,'Annual Reviews',The China Shock: Learning from Labor Market Adjustment to Large Changes in Trade,8,The China Shock: Learning from Labor Market Adjustment to Large Changes in Trade,,Other,Published,"Department of Economics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142;",10.1146/annurev-economics-080315-015041,1,"Autor, D. H., Dorn, D., & Hanson, G. H. (2016). The China Shock: Learning from Labor-Market Adjustment to Large Changes in Trade. Annual Review of Economics, 8(1), 205â240. https://doi.org/10.1146/annurev-economics-080315-015041
",2016.0,2016.0,Michigan,,PROJ_06115,Completed,economics,1,2019.0,205-240,"china shock, labor market, market adjustment, labor, learning labor"
,Evan Mast,The Review of Economics and Statistics,Local Effects of Large New Apartment Buildings in Low-Income Areas,105,Black Suburbanization: Causes and Consequences of a Transformation of American Cities,,Publication,,W. E. Upjohn Institute for Employment Research,10.1162/rest_a_01055,3,"Asquith, B. J., Mast, E., & Reed, D. (2023). Local Effects of Large New Apartment Buildings in Low-Income Areas. The Review of Economics and Statistics, 105(2), 359â375. https://doi.org/10.1162/rest_a_01055
",,2021.0,Boston,,PROJ_10240,,cognition sciences,2,,359-375,"apartment buildings, new apartment, buildings low, apartment, buildings"
,Adriana Kugler,ILR Review,Impacts of Public Health Insurance on Occupational Upgrading,75,What factors contributed to changes in employment during and after the Great Recession?,,Publication,,"Ammar Farooq is a Data Scientist II at Uber Technologies. Adriana Kugler is a Professor in the McCourt School of Public Policy and in the Department of Economics at Georgetown University and a Research Fellow at the National Bureau of Economic Research (NBER), Center for Economic and Policy Research (CEPR), and the Institute of Labor Economics (IZA)",10.1177/0019793920928066,6,"Farooq, A., & Kugler, A. (2020). Impacts of Public Health Insurance on Occupational Upgrading. ILR Review, 75(1), 225â250. https://doi.org/10.1177/0019793920928066
",,2022.0,Chicago,,PROJ_07965,,economics,1,,225-250,"occupational upgrading, insurance occupational, health insurance, insurance, public health"
,Stephen J Trejo,ILR Review,Which Mexicans Are White? Enumerator-Assigned Race in the 1930 Census and the Socioeconomic Integration of Mexican Americans,78,Combination of CMS searches for heavy resonances decaying to pairs of bosons or leptons,,Publication,,Brian Duncan is a Professor in the Department of Economics at the University of Colorado Denver. Stephen J. Trejo is a Professor in the Department of Economics at the Unof Texas at Austin,10.1177/00197939231213055,11,"Duncan, B., & Trejo, S. J. (2023). Which Mexicans Are White? Enumerator-Assigned Race in the 1930 Census and the Socioeconomic Integration of Mexican Americans. ILR Review, 78(1), 62â85. https://doi.org/10.1177/00197939231213055
",,2025.0,Texas,,PROJ_07244,,physical sciences,1,,62-85,"mexicans white, mexican americans, 1930 census, census socioeconomic, mexicans"
,John R Hipp,"eScholarship, University of California",Analysing non-linearities and threshold effects between street-level built environments and local crime patterns: An interpretable machine learning approach,,Analysing non-linearities and threshold effects between street-level built environments and local crime patterns: An interpretable machine learning approach,,Other,Published,"Hanyang University, Korea",10.1177/00420980241270948,9,"Lee, S., Ki, D., Hipp, J. R., & Kim, J. H. (2024). Analysing non-linearities and threshold effects between street-level built environments and local crime patterns: An interpretable machine learning approach. Urban Studies. https://doi.org/10.1177/00420980241270948
",2024.0,2024.0,Ohio State,,PROJ_03422,Active,technology,,2027.0,,"crime patterns, local crime, street level, crime, street"
,Robert Kaestner,Evaluation Review,Estimating a Theoretically Consistent Human Capital Production Function With an Application to Head Start,49,Athletes’ Beliefs About and Attitudes Towards Taking Banned Performance-Enhancing Substances: A Qualitative Study,,Publication,,"Law School, University of California, Berkeley, CA, USA",10.1177/0193841X241239512,3,"Faundez, L., & Kaestner, R. (2024). Estimating a Theoretically Consistent Human Capital Production Function With an Application to Head Start. Evaluation Review, 49(1), 61â114. https://doi.org/10.1177/0193841x241239512
",,2025.0,Chicago,,PROJ_06036,,cognition sciences,1,,61-114,"human capital, capital production, head start, estimating theoretically, estimating"
,Kandice A Kapinos,Cancer Control,Cost-Effectiveness Analysis of CAR T-Cell Therapies vs Antibody Drug Conjugates for Patients with Advanced Multiple Myeloma,30,Cesarean deliveries and maternal weight retention,,Publication,,"Peter O’Donnell Jr. School of Public Health, University of Texas Southwestern Medical Center, Dallas, TX, USA",10.1177/10732748221142945,1,"Kapinos, K. A., Hu, E., Trivedi, J., Geethakumari, P. R., & Kansagra, A. (2023). Cost-Effectiveness Analysis of CAR T-Cell Therapies vs Antibody Drug Conjugates for Patients with Advanced Multiple Myeloma. Cancer Control, 30. https://doi.org/10.1177/10732748221142945
",,2023.0,Texas,,PROJ_04696,,medicine,,,,"multiple myeloma, myeloma, cost effectiveness, antibody drug, vs antibody"
,Edward Telles,"eScholarship, University of California",Third Generation Disadvantage among Mexican Americans,3,Latinos,,Other,Published,"University of California, Los Angeles, Los Angeles, CA, USA",10.1177/2332649217707223,1,"Ortiz, V., & Telles, E. (2017). Third Generation Disadvantage among Mexican Americans. Sociology of Race and Ethnicity, 3(4), 441â457. https://doi.org/10.1177/2332649217707223
",2018.0,2017.0,Chicago,,PROJ_13798,Completed,law and justice,4,2021.0,441-457,"disadvantage mexican, generation disadvantage, mexican americans, generation, mexican"
